group,city,state,statePop,ideology,gpsByState,gpsPerCapita
Nation of Islam,San Diego,California,39148760,Black Separatist,88,0.22478362
Sicarii 1715,San Diego,California,39148760,Black Separatist,88,0.22478362
Proud Boys,San Diego,California,39148760,General Hate,88,0.22478362
Asatru Folk Assembly,San Diego,California,39148760,Neo-Volkisch,88,0.22478362
ACT for America,San Fernando Valley,California,39148760,Anti-Muslim,88,0.22478362
Asatru Folk Assembly,San Francisco,California,39148760,Neo-Volkisch,88,0.22478362
Counter-Currents Publishing,San Francisco,California,39148760,White Nationalist,88,0.22478362
ACT for America,San Gabriel Valley,California,39148760,Anti-Muslim,88,0.22478362
White Aryan Resistance,San Jacinto,California,39148760,Neo-Nazi,88,0.22478362
Pacific Justice Institute,San Jose,California,39148760,Anti-LGBTQ,88,0.22478362
American Identity Movement,San Luis Obispo,California,39148760,White Nationalist,88,0.22478362
Pacific Justice Institute,Santa Ana,California,39148760,Anti-LGBTQ,88,0.22478362
ACT for America,Santa Clarita,California,39148760,Anti-Muslim,88,0.22478362
Counter Jihad Coalition,Santa Monica,California,39148760,Anti-Muslim,88,0.22478362
Proud Boys,Sarasota,Florida,20598139,General Hate,67,0.325272103
Israel United In Christ,Savannah,Georgia,10297484,Black Separatist,38,0.369022181
Church of Israel,Schell City,Missouri,6090062,Christian Identity,21,0.344824076
Alliance Defending Freedom,Scottsdale,Arizona,6946685,Anti-LGBTQ,21,0.302302465
Mass Resistance,Seattle,Washington,7294336,Anti-LGBTQ,30,0.411278011
Pacific Justice Institute,Seattle,Washington,7294336,Anti-LGBTQ,30,0.411278011
Israel United In Christ,Seattle,Washington,7294336,Black Separatist,30,0.411278011
New Black Panther Party for Self Defense,Seattle,Washington,7294336,Black Separatist,30,0.411278011
Sicarii 1715,Seattle,Washington,7294336,Black Separatist,30,0.411278011
Proud Boys,Seattle,Washington,7294336,General Hate,30,0.411278011
American Identity Movement,Seattle,Washington,7294336,White Nationalist,30,0.411278011
Counter-Currents Publishing,Seattle,Washington,7294336,White Nationalist,30,0.411278011
European-American Evangelistic Crusades,Sheridan,California,39148760,General Hate,88,0.22478362
David Horowitz Freedom Center,Sherman Oaks,California,39148760,Anti-Muslim,88,0.22478362
Jihad Watch,Sherman Oaks,California,39148760,Anti-Muslim,88,0.22478362
Nation of Islam,Shreveport,Louisiana,4663616,Black Separatist,21,0.450294364
New Black Panther Party,Shreveport,Louisiana,4663616,Black Separatist,21,0.450294364
American Border Patrol,Sierra Vista,Arizona,6946685,Anti-Immigrant,21,0.302302465
Church of the National Knights of the Ku Klux Klan,South Bend,Indiana,6637426,Ku Klux Klan,20,0.301321627
Culture Wars/Fidelity Press,South Bend,Indiana,6637426,Radical Traditional Catholicism,20,0.301321627
Golden State Skinheads,Southern,California,39148760,Racist Skinhead,88,0.22478362
True Light Pentecost Church,Spartanburg,South Carolina,4955925,Anti-LGBTQ,17,0.343023754
Sure Foundation Baptist Church,Spokane,Washington,7294336,Anti-LGBTQ,30,0.411278011
Proud Boys,Spokane,Washington,7294336,General Hate,30,0.411278011
ACT for America,Spokane Valley,Washington,7294336,Anti-Muslim,30,0.411278011
Scott Lively Ministries,Springfield,Massachusetts,6830193,Anti-LGBTQ,15,0.219613121
Nation of Islam,Springfield,Massachusetts,6830193,Black Separatist,15,0.219613121
Concerned Community Citizens,St. Cloud,Minnesota,5527358,Anti-Muslim,12,0.217101914
Great Millstone,St. Louis,Missouri,6090062,Black Separatist,21,0.344824076
Israel United In Christ,St. Louis,Missouri,6090062,Black Separatist,21,0.344824076
Israelite School of Universal Practical Knowledge,St. Louis,Missouri,6090062,Black Separatist,21,0.344824076
Nation of Islam,St. Louis,Missouri,6090062,Black Separatist,21,0.344824076
New Black Panther Party for Self Defense,St. Louis,Missouri,6090062,Black Separatist,21,0.344824076
Nation of Islam,St. Petersburg,Florida,20598139,Black Separatist,67,0.325272103
Bill Keller Ministries,St. Petersburg,Florida,20598139,General Hate,67,0.325272103
Slaves of the Immaculate Heart of Mary,Still River,Massachusetts,6830193,Radical Traditional Catholicism,15,0.219613121
Patriotic Flags,Summerville,South Carolina,4955925,White Nationalist,17,0.343023754
Renaissance Horizon,Summerville,South Carolina,4955925,White Nationalist,17,0.343023754
Israelite School of Universal Practical Knowledge,Syracuse,New York,19618453,Black Separatist,44,0.224278642
Proud Boys,Tacoma,Washington,7294336,General Hate,30,0.411278011
Israel United In Christ,Tallahassee,Florida,20598139,Black Separatist,67,0.325272103
Real Republic of Florida,Tallahassee,Florida,20598139,White Nationalist,67,0.325272103
Florida Family Association,Tampa,Florida,20598139,Anti-Muslim,67,0.325272103
Great Millstone,Tampa,Florida,20598139,Black Separatist,67,0.325272103
Israelite School of Universal Practical Knowledge,Tampa,Florida,20598139,Black Separatist,67,0.325272103
Nation of Islam,Tampa,Florida,20598139,Black Separatist,67,0.325272103
New Black Panther Party for Self Defense,Tampa,Florida,20598139,Black Separatist,67,0.325272103
Proud Boys,Tampa,Florida,20598139,General Hate,67,0.325272103
Mountain Minutemen,Tecate,California,39148760,Anti-Immigrant,88,0.22478362
Faithful Word Baptist Church,Tempe,Arizona,6946685,Anti-LGBTQ,21,0.302302465
Concerned Christian Citizens,Temple,Texas,27885195,Anti-LGBTQ,63,0.225926338
The Campus Ministry USA,Terre Haute,Indiana,6637426,Anti-LGBTQ,20,0.301321627
ACT for America,Terre Haute,Indiana,6637426,Anti-Muslim,20,0.301321627
Hell Shaking Street Preachers,Tillamook,Oregon,4081943,General Hate,15,0.367472059
Nation of Islam,Toledo,Ohio,11641879,Black Separatist,31,0.26628004
Westboro Baptist Church,Topeka,Kansas,2908776,Anti-LGBTQ,3,0.103136164
Mass Resistance,Torrance,California,39148760,Anti-LGBTQ,88,0.22478362
Dixie Republic,Travelers Rest,South Carolina,4955925,Neo-Confederate,17,0.343023754
Nation of Islam,Trenton,New Jersey,8881845,Black Separatist,21,0.236437362
Forza Nuova,Trenton,New Jersey,8881845,White Nationalist,21,0.236437362
Faithful Word Baptist Church,Tucson,Arizona,6946685,Anti-LGBTQ,21,0.302302465
ACT for America,Tucson,Arizona,6946685,Anti-Muslim,21,0.302302465
Nation of Islam,Tucson,Arizona,6946685,Black Separatist,21,0.302302465
Israel United In Christ,Tulsa,Oklahoma,3918137,Black Separatist,10,0.255223337
Nation of Islam,Tulsa,Oklahoma,3918137,Black Separatist,10,0.255223337
American Family Association,Tupelo,Mississippi,2988762,Anti-LGBTQ,12,0.401504034
New Black Panther Party for Self Defense,Tupelo,Mississippi,2988762,Black Separatist,12,0.401504034
Israel United In Christ,Turtle Creek,Pennsylvania,12791181,Black Separatist,36,0.28144391
Fellowship of God's Covenant People,Union,Kentucky,4440204,Christian Identity,15,0.337822316
Israelite School of Universal Practical Knowledge,Upper Darby,Pennsylvania,12791181,Black Separatist,36,0.28144391
Israel United In Christ,Upper Marlboro,Maryland,6003435,Black Separatist,20,0.333142609
American Free Press,Upper Marlboro,Maryland,6003435,General Hate,20,0.333142609
"Barnes Review/Foundation for Economic Liberty, Inc.",Upper Marlboro,Maryland,6003435,Holocaust Denial,20,0.333142609
Southeast Michigan Tea Party,Utica,Michigan,9957488,Anti-Muslim,27,0.271152724
Great Millstone,Valdosta,Georgia,10297484,Black Separatist,38,0.369022181
Chalcedon Foundation,Vallecito,California,39148760,Anti-LGBTQ,88,0.22478362
Sure Foundation Baptist Church,Vancouver,Washington,7294336,Anti-LGBTQ,30,0.411278011
Proud Boys,Vancouver,Washington,7294336,General Hate,30,0.411278011
Californians for Population Stabilization,Ventura,California,39148760,Anti-Immigrant,88,0.22478362
The Fitzgerald Griffin Foundation,Vienna,Virginia,8413774,White Nationalist,36,0.427869824
ACT for America,Viera,Florida,20598139,Anti-Muslim,67,0.325272103
Faith Baptist Church,Violet,Louisiana,4663616,Anti-LGBTQ,21,0.450294364
ACT for America,Walsenburg,Colorado,5531141,Anti-Muslim,22,0.397747951
Mass Resistance,Waltham,Massachusetts,6830193,Anti-LGBTQ,15,0.219613121
VDARE Foundation,Warrenton,Virginia,8413774,White Nationalist,36,0.427869824
Woden's Folk Kindred,Waxahachie,Texas,27885195,Neo-Volkisch,63,0.225926338
League of the South,Weogufka,Alabama,4864680,Neo-Confederate,16,0.328901387
Christ or Chaos,West Chester,Ohio,11641879,Radical Traditional Catholicism,31,0.26628004
Great Millstone,West Palm Beach,Florida,20598139,Black Separatist,67,0.325272103
Stormfront,West Palm Beach,Florida,20598139,White Nationalist,67,0.325272103
MSR Productions,Wheat Ridge,Colorado,5531141,Hate Music,22,0.397747951
ACT for America,Whitehall,Montana,1041732,Anti-Muslim,6,0.575963876
ACT for America,Wilkes-Barre,Pennsylvania,12791181,Anti-Muslim,36,0.28144391
Nation of Islam,Wilkinsburg,Pennsylvania,12791181,Black Separatist,36,0.28144391
Nation of Islam,Willingboro,New Jersey,8881845,Black Separatist,21,0.236437362
Israelite School of Universal Practical Knowledge,Wilmington,Delaware,949495,Black Separatist,3,0.31595743
Nation of Islam,Wilmington,Delaware,949495,Black Separatist,3,0.31595743
Nation of Islam,Wilmington,North Carolina,10155624,Black Separatist,32,0.315096345
Israelite School of Universal Practical Knowledge,Winston-Salem,North Carolina,10155624,Black Separatist,32,0.315096345
Nation of Islam,Winston-Salem,North Carolina,10155624,Black Separatist,32,0.315096345
Legal Immigrants for America,Winter Springs,Florida,20598139,Anti-Immigrant,67,0.325272103
Bible Believers Fellowship,Worthington,Ohio,11641879,Anti-LGBTQ,31,0.26628004
NS Publications,Wyandotte,Michigan,9957488,Neo-Nazi,27,0.271152724
Committee for Open Debate on the Holocaust,York,Pennsylvania,12791181,Holocaust Denial,36,0.28144391
